LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
5	-549.035	1187.02	-20000	10977.6
6	-684.622	1824.86	-40000	959.171
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-69.415	-31.3173	80000	44307.8
1	-281.992	-69.714	60000	24834.6
2	-530.256	167.525	40000	8348.99
3	0	0	20000	0
4	0	0	0	0
5	0	0	-20000	0
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-36.9048	20.5646	80000	72373.6
1	-115.178	95.3478	60000	57600.3
2	-179.573	108.48	40000	45324.4
3	-335.142	164.136	20000	31694.8
4	-567.052	181.236	0	20094.8
5	-651.507	349.733	-20000	9618.16
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	15.8032	-3.82033	80000	75304.8
1	5.66934	32.0034	60000	63413.3
2	92.3797	-4.10767	40000	49400.6
3	255.998	-156.411	20000	38502.9
4	333.984	-331.276	0	26924.1
5	367.253	-742.041	-20000	15791.5
6	-167.402	-1592.32	-40000	5266.22
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	39.6735	-73.4737	80000	75514.7
1	109.692	-160.179	60000	63985.8
2	248.945	-293.722	40000	52727.7
3	438.893	-441.013	20000	41310.4
4	596.101	-569.657	0	29306.6
5	871.934	-698.333	-20000	16845
6	904.868	-884.279	-40000	4175.46
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	27.8554	-1.40297	80000	73998.9
1	17.3456	-60.5157	60000	60773.2
2	-25.8374	-111.751	40000	49690
3	-57.8337	-77.0205	20000	34015.8
4	-76.9233	-25.4998	0	21851.5
5	-104.742	49.186	-20000	10477.4
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-2.81267	-32.2899	80000	73850.3
1	-59.1991	-93.7943	60000	62661.8
2	-139.538	-197.997	40000	50825.5
3	-108.871	-305.052	20000	37832.5
4	-80.8872	-540.395	0	26394.3
5	-262.541	-776.607	-20000	14619.3
6	-431.342	-1008.39	-40000	2560.01
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-18.2685	46.7195	80000	26864
1	-51.6113	109.531	60000	16037.8
2	-609.713	70.6029	40000	4853.87
3	0	0	20000	0
4	0	0	0	0
5	0	0	-20000	0
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-55.6255	48.0982	80000	73690.9
1	-169.523	133.841	60000	62206.6
2	-329.251	263.599	40000	49389
3	-561.393	396.947	20000	37694.2
4	-813.127	489.56	0	27009.8
5	-974.283	560.809	-20000	14807.6
6	-893.588	607.44	-40000	2639.01
